url_length,hostname_length,path_length,query_length,count_dots,count_hyphens,count_underscores,count_slashes,count_at,count_question,count_equals,count_ampersand,count_percent,count_digits,count_letters,digit_ratio,is_https,has_ip,has_port,subdomain_count,has_phish_keyword,suspicious_tld,is_shortened,double_slash_in_path,hyphen_in_domain,entropy_hostname,entropy_path,query_param_count,has_fragment,dots_in_hostname,digit_only_subdomain,special_char_density,domain_age_days,is_new_domain,whois_available,domain_country,has_privacy_guard,dns_resolves,label
58,19,7,24,1,2,0,3,0,1,2,1,0,3,44,0.05172413793103448,0,0,0,0,1,1,0,0,1,3.7216,2.8074,2,0,1,0,0.0,-1,0,0,0,0,0,1
42,15,19,0,2,0,0,4,0,0,0,0,0,0,35,0.0,1,0,0,1,0,0,0,0,0,3.3232,3.4714,0,0,2,0,0.0,-1,0,0,0,0,0,0
38,20,10,0,2,0,0,4,0,0,0,0,0,0,31,0.0,1,0,0,1,0,0,0,0,0,3.5464,2.9219,0,0,2,0,0.0,-1,0,0,0,0,0,0
48,24,7,9,1,2,0,3,0,1,1,0,0,0,39,0.0,0,0,0,0,1,1,0,0,1,3.8868,2.8074,1,0,1,0,0.0,-1,0,0,0,0,0,1
42,18,16,0,2,0,0,5,0,0,0,0,0,0,34,0.0,1,0,0,1,0,0,0,0,0,3.5724,3.4528,0,0,2,0,0.0,-1,0,0,0,0,0,0
35,16,11,0,2,0,0,4,0,0,0,0,0,0,28,0.0,1,0,0,1,0,0,0,0,0,3.3278,2.914,0,0,2,0,0.0,-1,0,0,0,0,0,0
56,20,18,10,1,3,0,3,0,1,1,0,0,7,39,0.125,0,0,0,0,0,1,0,0,1,3.7219,3.5033,1,0,1,0,0.0,-1,0,0,0,0,0,1
31,14,9,0,2,0,0,3,0,0,0,0,0,0,25,0.0,1,0,0,1,0,0,0,0,0,3.182,2.5033,0,0,2,0,0.0,-1,0,0,0,0,0,0
29,20,1,0,2,0,0,3,0,0,0,0,0,0,23,0.0,1,0,0,1,0,0,0,0,0,3.4842,-0.0,0,0,2,0,0.0,-1,0,0,0,0,0,0
36,10,18,0,1,0,0,4,0,0,0,0,0,0,30,0.0,1,0,0,0,0,0,0,0,0,2.8464,3.5033,0,0,1,0,0.0,-1,0,0,0,0,0,0
59,23,16,12,1,2,0,4,0,1,1,0,0,3,46,0.05084745762711865,0,0,0,0,1,1,0,0,1,3.882,3.3278,1,0,1,0,0.0,-1,0,0,0,0,0,1
54,19,6,21,1,2,0,3,0,1,2,1,0,0,43,0.0,0,0,0,0,1,1,0,0,1,3.5766,2.585,2,0,1,0,0.0,-1,0,0,0,0,0,1
41,26,8,0,1,2,0,3,0,0,0,0,0,0,34,0.0,0,0,0,0,0,1,0,0,1,3.9501,2.5,0,0,1,0,0.0,-1,0,0,0,0,0,1
55,27,5,15,1,2,0,3,0,1,1,0,0,3,43,0.05454545454545454,0,0,0,0,0,1,0,0,1,4.0603,2.3219,1,0,1,0,0.0,-1,0,0,0,0,0,1
43,28,8,0,1,2,0,3,0,0,0,0,0,0,36,0.0,0,0,0,0,0,1,0,0,1,4.1106,2.5,0,0,1,0,0.0,-1,0,0,0,0,0,1
30,22,0,0,1,0,0,2,0,0,0,0,0,0,26,0.0,1,0,0,0,0,0,0,0,0,3.5726,0.0,0,0,1,0,0.0,-1,0,0,0,0,0,0
36,13,15,0,1,0,0,5,0,0,0,0,0,0,29,0.0,1,0,0,0,0,0,0,0,0,3.3347,3.0062,0,0,1,0,0.0,-1,0,0,0,0,0,0
41,28,6,0,1,2,0,3,0,0,0,0,0,0,34,0.0,0,0,0,0,1,1,0,0,1,3.8693,2.585,0,0,1,0,0.0,-1,0,0,0,0,0,1
38,10,20,0,1,1,0,5,0,0,0,0,0,4,26,0.10526315789473684,1,0,0,0,0,0,0,0,0,2.9219,3.6464,0,0,1,0,0.0,-1,0,0,0,0,0,0
42,25,10,0,1,2,0,4,0,0,0,0,0,0,34,0.0,0,0,0,0,1,1,0,0,1,4.2137,2.7219,0,0,1,0,0.0,-1,0,0,0,0,0,1
29,20,1,0,2,0,0,3,0,0,0,0,0,0,23,0.0,1,0,0,1,0,0,0,0,0,3.6842,-0.0,0,0,2,0,0.0,-1,0,0,0,0,0,0
52,26,7,11,1,2,0,3,0,1,1,0,0,6,37,0.11538461538461539,0,0,0,0,1,1,0,0,1,3.7483,2.2359,1,0,1,0,0.0,-1,0,0,0,0,0,1
39,16,15,0,2,1,0,4,0,0,0,0,0,0,31,0.0,1,0,0,1,0,0,0,0,0,3.3278,3.1069,0,0,2,0,0.0,-1,0,0,0,0,0,0
33,24,1,0,2,0,0,3,0,0,0,0,0,0,27,0.0,1,0,0,1,0,0,0,0,0,3.7721,-0.0,0,0,2,0,0.0,-1,0,0,0,0,0,0
45,29,9,0,1,2,0,4,0,0,0,0,0,3,34,0.06666666666666667,0,0,0,0,1,1,0,0,1,4.0044,2.9477,0,0,1,0,0.0,-1,0,0,0,0,0,1
26,13,5,0,1,0,0,3,0,0,0,0,0,0,21,0.0,1,0,0,0,0,0,0,0,0,3.027,2.3219,0,0,1,0,0.0,-1,0,0,0,0,0,0
22,13,1,0,2,0,0,3,0,0,0,0,0,0,16,0.0,1,0,0,1,0,0,0,0,0,3.027,-0.0,0,0,2,0,0.0,-1,0,0,0,0,0,0
62,28,6,20,1,3,0,3,0,1,2,1,0,4,46,0.06451612903225806,0,0,0,0,1,1,0,0,1,3.9677,2.585,2,0,1,0,0.0,-1,0,0,0,0,0,1
25,12,5,0,1,0,0,3,0,0,0,0,0,0,20,0.0,1,0,0,0,0,0,0,0,0,3.4183,2.3219,0,0,1,0,0.0,-1,0,0,0,0,0,0
43,15,6,13,2,0,0,3,0,1,1,0,0,2,33,0.046511627906976744,1,0,0,1,0,0,0,0,0,3.1899,2.585,1,0,2,0,0.0,-1,0,0,0,0,0,0
47,32,8,0,1,3,0,3,0,0,0,0,0,0,39,0.0,0,0,0,0,0,1,0,0,1,4.0275,2.5,0,0,1,0,0.0,-1,0,0,0,0,0,1
27,10,9,0,1,0,0,4,0,0,0,0,0,0,21,0.0,1,0,0,0,0,0,0,0,0,3.3219,2.9477,0,0,1,0,0.0,-1,0,0,0,0,0,0
49,35,7,0,1,2,0,3,0,0,0,0,0,0,42,0.0,0,0,0,0,0,1,0,0,1,3.9789,2.2359,0,0,1,0,0.0,-1,0,0,0,0,0,1
36,23,6,0,1,2,0,3,0,0,0,0,0,0,29,0.0,0,0,0,0,1,1,0,0,1,4.0018,2.585,0,0,1,0,0.0,-1,0,0,0,0,0,1
28,19,1,0,2,0,0,3,0,0,0,0,0,0,22,0.0,1,0,0,1,0,0,0,0,0,3.5766,-0.0,0,0,2,0,0.0,-1,0,0,0,0,0,0
30,11,11,0,1,0,0,4,0,0,0,0,0,0,24,0.0,1,0,0,0,0,0,0,0,0,3.0958,3.0958,0,0,1,0,0.0,-1,0,0,0,0,0,0
45,30,8,0,1,2,0,3,0,0,0,0,0,0,38,0.0,0,0,0,0,1,1,0,0,1,4.0314,2.5,0,0,1,0,0.0,-1,0,0,0,0,0,1
42,28,7,0,1,2,0,3,0,0,0,0,0,0,35,0.0,0,0,0,0,1,1,0,0,1,3.9677,2.2359,0,0,1,0,0.0,-1,0,0,0,0,0,1
63,27,7,21,1,3,0,3,0,1,2,1,0,3,48,0.047619047619047616,0,0,0,0,1,1,0,0,1,3.6764,2.8074,2,0,1,0,0.0,-1,0,0,0,0,0,1
45,31,7,0,4,1,0,3,0,0,0,0,0,0,36,0.0,0,0,0,3,1,1,0,0,1,3.8732,2.8074,0,0,4,0,0.0,-1,0,0,0,0,0,1
25,16,1,0,2,0,0,3,0,0,0,0,0,0,19,0.0,1,0,0,1,0,0,0,0,0,3.3278,-0.0,0,0,2,0,0.0,-1,0,0,0,0,0,0
44,31,6,0,1,4,0,3,0,0,0,0,0,0,35,0.0,0,0,0,0,0,1,0,0,1,3.6066,2.2516,0,0,1,0,0.0,-1,0,0,0,0,0,1
54,39,8,0,4,0,0,4,0,0,0,0,0,0,45,0.0,0,0,0,3,1,1,0,0,0,3.9334,2.25,0,0,4,0,0.0,-1,0,0,0,0,0,1
28,19,1,0,1,0,0,3,0,0,0,0,0,0,23,0.0,1,0,0,0,0,0,0,0,0,3.7216,-0.0,0,0,1,0,0.0,-1,0,0,0,0,0,0
38,9,21,0,1,3,0,4,0,0,0,0,0,0,29,0.0,1,0,0,0,0,0,0,0,0,2.9477,3.3321,0,0,1,0,0.0,-1,0,0,0,0,0,0
48,34,7,0,1,2,0,3,0,0,0,0,0,0,41,0.0,0,0,0,0,1,1,0,0,1,3.9398,2.2359,0,0,1,0,0.0,-1,0,0,0,0,0,1
43,28,8,0,1,2,0,3,0,0,0,0,0,0,36,0.0,0,0,0,0,0,1,0,0,1,3.8249,2.5,0,0,1,0,0.0,-1,0,0,0,0,0,1
50,29,7,6,1,2,0,3,0,1,1,0,0,3,38,0.06,0,0,0,0,1,1,0,0,1,3.578,2.2359,1,0,1,0,0.0,-1,0,0,0,0,0,1
29,9,12,0,1,1,0,5,0,0,0,0,0,0,21,0.0,1,0,0,0,0,0,0,0,0,2.9477,3.0221,0,0,1,0,0.0,-1,0,0,0,0,0,0
41,27,7,0,1,2,0,3,0,0,0,0,0,0,34,0.0,0,0,0,0,1,1,0,0,1,3.6303,2.8074,0,0,1,0,0.0,-1,0,0,0,0,0,1
59,32,7,12,1,3,0,3,0,1,1,0,0,0,49,0.0,0,0,0,0,1,1,0,0,1,3.7067,2.5216,1,0,1,0,0.0,-1,0,0,0,0,0,1
21,12,1,0,2,0,0,3,0,0,0,0,0,0,15,0.0,1,0,0,1,0,0,0,0,0,3.0221,-0.0,0,0,2,0,0.0,-1,0,0,0,0,0,0
61,28,8,17,1,2,0,3,0,1,2,1,0,5,45,0.08196721311475409,0,0,0,0,1,1,0,0,1,3.9102,3.0,2,0,1,0,0.0,-1,0,0,0,0,0,1
52,22,7,15,1,2,0,3,0,1,1,0,0,0,43,0.0,0,0,0,0,0,1,0,0,1,3.7888,2.5216,1,0,1,0,0.0,-1,0,0,0,0,0,1
40,14,18,0,1,0,0,5,0,0,0,0,0,0,33,0.0,1,0,0,0,0,0,0,0,0,3.6645,3.3083,0,0,1,0,0.0,-1,0,0,0,0,0,0
46,29,10,0,4,0,0,4,0,0,0,0,0,0,37,0.0,0,0,0,3,1,1,0,0,0,3.647,2.7219,0,0,4,0,0.0,-1,0,0,0,0,0,1
52,16,8,19,2,0,0,3,0,1,1,0,0,0,44,0.0,1,0,0,1,0,0,0,0,0,3.1556,2.75,1,0,2,0,0.0,-1,0,0,0,0,0,0
24,6,11,0,1,0,0,3,0,0,0,0,0,3,16,0.125,0,0,0,0,0,0,1,0,0,2.585,3.0958,0,0,1,0,0.0,-1,0,0,0,0,0,1
46,16,22,0,2,0,1,4,0,0,0,0,0,0,38,0.0,1,0,0,1,0,0,0,0,0,3.4528,3.6069,0,0,2,0,0.0,-1,0,0,0,0,0,0
30,21,1,0,2,0,0,3,0,0,0,0,0,0,24,0.0,1,0,0,1,0,0,0,0,0,3.3321,-0.0,0,0,2,0,0.0,-1,0,0,0,0,0,0
55,25,6,16,1,3,0,3,0,1,2,1,0,1,42,0.01818181818181818,0,0,0,0,1,1,0,0,1,3.7231,2.585,2,0,1,0,0.0,-1,0,0,0,0,0,1
26,17,1,0,2,0,0,3,0,0,0,0,0,0,20,0.0,1,0,0,1,0,0,0,0,0,3.1751,-0.0,0,0,2,0,0.0,-1,0,0,0,0,0,0
38,12,7,10,1,0,0,3,0,1,1,0,0,0,31,0.0,1,0,0,0,0,0,0,0,0,3.2516,2.8074,1,0,1,0,0.0,-1,0,0,0,0,0,0
34,12,14,0,2,1,0,4,0,0,0,0,0,0,26,0.0,1,0,0,1,0,0,0,0,0,2.8554,3.3788,0,0,2,0,0.0,-1,0,0,0,0,0,0
